# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
A	0	41.71795	0.33035	0.01315	0.95673	0.01019	0.00231	0.06326	0.01898	0.00315	0.93674	0.01898	0.00315	0.06243	0.01760	0.00304	0.93757	0.01760	0.00304	0.06319	0.01804	0.00307	0.00142	0.00587	0.01315
B	0	41.64469	0.47316	0.01574	0.93917	0.00909	0.00218	0.09747	0.01540	0.00284	0.90253	0.01540	0.00284	0.09609	0.01423	0.00273	0.90391	0.01423	0.00273	0.09726	0.01458	0.00276	-0.00279	0.00916	0.01574
C	0	36.32758	1.35442	0.02662	0.91784	0.00744	0.00197	0.13812	0.01097	0.00240	0.86188	0.01097	0.00240	0.13595	0.01070	0.00237	0.86405	0.01070	0.00237	0.13785	0.01100	0.00240	-0.01499	0.01189	0.02662
D	0	40.58189	0.46017	0.01552	0.94363	0.00948	0.00223	0.08764	0.01598	0.00289	0.91236	0.01598	0.00289	0.08743	0.01522	0.00282	0.91257	0.01522	0.00282	0.08852	0.01560	0.00286	0.00573	0.01103	0.01552
E	0	39.39665	0.63002	0.01816	0.92556	0.00792	0.00204	0.08435	0.01434	0.00274	0.91565	0.01434	0.00274	0.12197	0.01147	0.00245	0.87803	0.01147	0.00245	0.12354	0.01177	0.00248	0.48563	0.08728	0.01816
F1	0	44.93040	1.84908	0.03111	0.85684	0.00454	0.00154	0.18864	0.00641	0.00183	0.81136	0.00641	0.00183	0.23625	0.00525	0.00166	0.76375	0.00525	0.00166	0.23891	0.00536	0.00168	0.21993	0.01845	0.03111
F2	0	14.94035	0.07602	0.00631	0.95552	0.01063	0.00236	0.06377	0.01942	0.00319	0.93623	0.01942	0.00319	0.06376	0.01827	0.00309	0.93624	0.01827	0.00309	0.06598	0.01956	0.00320	0.00571	0.01208	0.00631
G	0	6.86709	0.22421	0.01083	0.73941	0.00701	0.00192	0.05223	0.01650	0.00294	0.94777	0.01650	0.00294	0.37135	0.01103	0.00240	0.62865	0.01103	0.00240	0.40046	0.01278	0.00259	0.79430	0.16165	0.01083
M	0	9.66928	1.31046	0.02619	0.58424	0.02716	0.00377	0.03322	0.00927	0.00220	0.96678	0.00927	0.00220	0.43152	0.02342	0.00350	0.56848	0.02342	0.00350	0.45494	0.02590	0.00368	0.80767	0.14982	0.02619
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
A	0	1366421	1911	450	0.03293	41.79652	0.23496	0.00041	0.99994	0.00002	0.00000	0.00009	0.00003	0.00000	0.99991	0.00003	0.00000	0.00009	0.00003	0.00000	0.99991	0.00003	0.00000	0.00009	0.00003	0.00000	0.00000	0.00001	0.00041
B	0	1366421	1911	1864	0.13641	41.87417	0.19556	0.00038	0.99991	0.00002	0.00000	0.00014	0.00003	0.00001	0.99986	0.00003	0.00001	0.00013	0.00003	0.00000	0.99987	0.00003	0.00000	0.00014	0.00003	0.00000	-0.00000	0.00001	0.00038
C	0	1366421	1911	1909	0.13971	36.62923	0.93359	0.00083	0.99989	0.00002	0.00000	0.00019	0.00004	0.00001	0.99981	0.00004	0.00001	0.00019	0.00004	0.00001	0.99981	0.00004	0.00001	0.00019	0.00004	0.00001	-0.00002	0.00002	0.00083
D	0	1366421	1911	1797	0.13151	40.76696	0.26446	0.00044	0.99992	0.00002	0.00000	0.00012	0.00003	0.00000	0.99988	0.00003	0.00000	0.00012	0.00003	0.00000	0.99988	0.00003	0.00000	0.00012	0.00003	0.00000	0.00001	0.00002	0.00044
E	0	1366421	1911	1911	0.13985	39.77064	0.31457	0.00048	0.99990	0.00002	0.00000	0.00012	0.00003	0.00000	0.99988	0.00003	0.00000	0.00017	0.00004	0.00001	0.99983	0.00004	0.00001	0.00017	0.00004	0.00001	0.00068	0.00045	0.00048
F1	0	1366421	1911	1909	0.13971	45.48775	0.81587	0.00077	0.99980	0.00003	0.00001	0.00026	0.00006	0.00001	0.99974	0.00006	0.00001	0.00033	0.00009	0.00001	0.99967	0.00009	0.00001	0.00033	0.00009	0.00001	0.00031	0.00009	0.00077
F2	0	1366421	1911	451	0.03301	14.97544	0.03225	0.00015	0.99994	0.00002	0.00000	0.00009	0.00003	0.00000	0.99991	0.00003	0.00000	0.00009	0.00003	0.00000	0.99991	0.00003	0.00000	0.00009	0.00003	0.00000	0.00001	0.00002	0.00015
G	0	1366421	1911	1830	0.13393	6.87538	0.21618	0.00040	0.99964	0.00010	0.00001	0.00007	0.00003	0.00000	0.99993	0.00003	0.00000	0.00052	0.00021	0.00001	0.99948	0.00021	0.00001	0.00056	0.00024	0.00001	0.00111	0.00111	0.00040
M	0	1366421	1911	1757	0.12858	9.69304	1.26721	0.00096	0.99942	0.00028	0.00001	0.00005	0.00001	0.00000	0.99995	0.00001	0.00000	0.00060	0.00029	0.00001	0.99940	0.00029	0.00001	0.00064	0.00033	0.00002	0.00113	0.00112	0.00096
