# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
A	0	41.47591	0.60760	0.01793	0.96109	0.00963	0.00226	0.05532	0.01684	0.00299	0.94468	0.01684	0.00299	0.05554	0.01633	0.00294	0.94446	0.01633	0.00294	0.05623	0.01673	0.00298	0.00336	0.00537	0.01793
B	0	41.52144	0.54946	0.01706	0.94232	0.00871	0.00215	0.09176	0.01400	0.00272	0.90824	0.01400	0.00272	0.09128	0.01359	0.00268	0.90872	0.01359	0.00268	0.09240	0.01393	0.00272	-0.00140	0.00910	0.01706
C	0	36.14029	1.55499	0.02869	0.92066	0.00703	0.00193	0.13350	0.00988	0.00229	0.86650	0.00988	0.00229	0.13204	0.00998	0.00230	0.86796	0.00998	0.00230	0.13389	0.01027	0.00233	-0.01077	0.01306	0.02869
D	0	40.33139	0.70474	0.01932	0.94824	0.00868	0.00214	0.07996	0.01400	0.00272	0.92004	0.01400	0.00272	0.08080	0.01410	0.00273	0.91920	0.01410	0.00273	0.08182	0.01446	0.00277	0.00782	0.01006	0.01932
E	0	39.31022	0.72257	0.01956	0.92757	0.00786	0.00204	0.07999	0.01472	0.00279	0.92001	0.01472	0.00279	0.11865	0.01120	0.00244	0.88135	0.01120	0.00244	0.12018	0.01150	0.00247	0.50941	0.08162	0.01956
F1	0	44.57438	2.17574	0.03394	0.85460	0.00477	0.00159	0.19022	0.00673	0.00189	0.80978	0.00673	0.00189	0.23899	0.00515	0.00165	0.76101	0.00515	0.00165	0.24170	0.00526	0.00167	0.22553	0.01812	0.03394
F2	0	14.91371	0.09477	0.00708	0.96033	0.01009	0.00231	0.05702	0.01878	0.00315	0.94298	0.01878	0.00315	0.05602	0.01693	0.00299	0.94398	0.01693	0.00299	0.05797	0.01813	0.00310	0.00299	0.01044	0.00708
G	0	6.89624	0.15872	0.00917	0.73025	0.00608	0.00179	0.04270	0.01323	0.00265	0.95730	0.01323	0.00265	0.38181	0.00903	0.00219	0.61819	0.00903	0.00219	0.41164	0.01049	0.00236	0.83861	0.12963	0.00917
M	0	9.71678	0.84718	0.02118	0.56951	0.02142	0.00337	0.02936	0.00811	0.00207	0.97064	0.00811	0.00207	0.44753	0.01787	0.00308	0.55247	0.01787	0.00308	0.47181	0.01977	0.00323	0.84685	0.12319	0.02118
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
A	0	1342405	1889	386	0.02875	41.55166	0.53137	0.00063	0.99995	0.00002	0.00000	0.00008	0.00003	0.00000	0.99992	0.00003	0.00000	0.00008	0.00003	0.00000	0.99992	0.00003	0.00000	0.00008	0.00003	0.00000	0.00000	0.00001	0.00063
B	0	1342405	1889	1849	0.13774	41.74470	0.29688	0.00047	0.99992	0.00002	0.00000	0.00013	0.00003	0.00000	0.99987	0.00003	0.00000	0.00013	0.00003	0.00000	0.99987	0.00003	0.00000	0.00013	0.00003	0.00000	-0.00000	0.00001	0.00047
C	0	1342405	1889	1887	0.14057	36.46638	1.16581	0.00093	0.99989	0.00002	0.00000	0.00019	0.00004	0.00001	0.99981	0.00004	0.00001	0.00019	0.00004	0.00001	0.99981	0.00004	0.00001	0.00019	0.00004	0.00001	-0.00002	0.00002	0.00093
D	0	1342405	1889	1773	0.13208	40.53015	0.49478	0.00061	0.99993	0.00002	0.00000	0.00011	0.00003	0.00000	0.99989	0.00003	0.00000	0.00011	0.00003	0.00000	0.99989	0.00003	0.00000	0.00012	0.00003	0.00000	0.00001	0.00001	0.00061
E	0	1342405	1889	1886	0.14049	39.68332	0.39218	0.00054	0.99990	0.00002	0.00000	0.00011	0.00003	0.00000	0.99989	0.00003	0.00000	0.00017	0.00004	0.00001	0.99983	0.00004	0.00001	0.00017	0.00004	0.00001	0.00072	0.00048	0.00054
F1	0	1342405	1889	1889	0.14072	45.18149	1.05363	0.00089	0.99980	0.00004	0.00001	0.00027	0.00006	0.00001	0.99973	0.00006	0.00001	0.00034	0.00009	0.00001	0.99966	0.00009	0.00001	0.00034	0.00009	0.00001	0.00032	0.00010	0.00089
F2	0	1342405	1889	377	0.02808	14.94719	0.05833	0.00021	0.99994	0.00002	0.00000	0.00008	0.00003	0.00000	0.99992	0.00003	0.00000	0.00008	0.00003	0.00000	0.99992	0.00003	0.00000	0.00008	0.00003	0.00000	0.00000	0.00001	0.00021
G	0	1342405	1889	1820	0.13558	6.90402	0.15042	0.00033	0.99962	0.00011	0.00001	0.00006	0.00002	0.00000	0.99994	0.00002	0.00000	0.00054	0.00022	0.00001	0.99946	0.00022	0.00001	0.00058	0.00025	0.00001	0.00118	0.00117	0.00033
M	0	1342405	1889	1784	0.13290	9.74323	0.82412	0.00078	0.99939	0.00029	0.00001	0.00004	0.00001	0.00000	0.99996	0.00001	0.00000	0.00063	0.00031	0.00002	0.99937	0.00031	0.00002	0.00066	0.00034	0.00002	0.00119	0.00118	0.00078
