# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
A	0	41.21436	0.88905	0.02167	0.95860	0.01033	0.00234	0.05858	0.01765	0.00305	0.94142	0.01765	0.00305	0.05872	0.01725	0.00302	0.94128	0.01725	0.00302	0.05945	0.01768	0.00306	0.00224	0.00522	0.02167
B	0	41.37856	0.71187	0.01939	0.94209	0.00867	0.00214	0.09263	0.01415	0.00273	0.90737	0.01415	0.00273	0.09180	0.01342	0.00266	0.90820	0.01342	0.00266	0.09292	0.01375	0.00269	-0.00050	0.00894	0.01939
C	0	36.09768	1.37503	0.02694	0.91860	0.00746	0.00198	0.13743	0.01093	0.00240	0.86257	0.01093	0.00240	0.13464	0.01041	0.00234	0.86536	0.01041	0.00234	0.13653	0.01070	0.00238	-0.01775	0.01077	0.02694
D	0	40.16262	0.91068	0.02193	0.94611	0.00926	0.00221	0.08445	0.01551	0.00286	0.91555	0.01551	0.00286	0.08344	0.01458	0.00277	0.91656	0.01458	0.00277	0.08450	0.01495	0.00281	0.00232	0.00965	0.02193
E	0	39.30042	0.68572	0.01903	0.92645	0.00814	0.00207	0.08160	0.01500	0.00281	0.91840	0.01500	0.00281	0.12001	0.01145	0.00246	0.87999	0.01145	0.00246	0.12156	0.01175	0.00249	0.50438	0.08170	0.01903
F1	0	44.18585	2.52012	0.03648	0.85459	0.00481	0.00159	0.19125	0.00686	0.00190	0.80875	0.00686	0.00190	0.23893	0.00526	0.00167	0.76107	0.00526	0.00167	0.24166	0.00538	0.00169	0.22020	0.01753	0.03648
F2	0	14.87804	0.13884	0.00856	0.95910	0.01026	0.00233	0.05870	0.01910	0.00318	0.94130	0.01910	0.00318	0.05795	0.01731	0.00302	0.94205	0.01731	0.00302	0.05998	0.01853	0.00313	0.00341	0.01126	0.00856
G	0	6.88965	0.15211	0.00896	0.73282	0.00630	0.00182	0.04483	0.01337	0.00266	0.95517	0.01337	0.00266	0.37900	0.00923	0.00221	0.62100	0.00923	0.00221	0.40861	0.01069	0.00238	0.82899	0.13592	0.00896
M	0	9.71014	0.71414	0.01942	0.57653	0.02300	0.00348	0.02885	0.00668	0.00188	0.97115	0.00668	0.00188	0.44231	0.01943	0.00320	0.55769	0.01943	0.00320	0.46631	0.02152	0.00337	0.83854	0.12580	0.01942
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
A	0	1357086	1894	399	0.02940	41.28997	0.80014	0.00077	0.99994	0.00002	0.00000	0.00008	0.00003	0.00000	0.99992	0.00003	0.00000	0.00008	0.00003	0.00000	0.99992	0.00003	0.00000	0.00008	0.00003	0.00000	0.00000	0.00001	0.00077
B	0	1357086	1894	1856	0.13676	41.59738	0.44367	0.00057	0.99992	0.00002	0.00000	0.00013	0.00003	0.00000	0.99987	0.00003	0.00000	0.00013	0.00003	0.00000	0.99987	0.00003	0.00000	0.00013	0.00003	0.00000	-0.00000	0.00001	0.00057
C	0	1357086	1894	1889	0.13920	36.38462	1.01011	0.00086	0.99989	0.00002	0.00000	0.00019	0.00004	0.00001	0.99981	0.00004	0.00001	0.00019	0.00004	0.00001	0.99981	0.00004	0.00001	0.00019	0.00004	0.00001	-0.00002	0.00002	0.00086
D	0	1357086	1894	1781	0.13124	40.33922	0.73159	0.00073	0.99992	0.00002	0.00000	0.00012	0.00003	0.00000	0.99988	0.00003	0.00000	0.00012	0.00003	0.00000	0.99988	0.00003	0.00000	0.00012	0.00003	0.00000	0.00000	0.00001	0.00073
E	0	1357086	1894	1892	0.13942	39.65436	0.37698	0.00053	0.99990	0.00002	0.00000	0.00011	0.00003	0.00000	0.99989	0.00003	0.00000	0.00017	0.00004	0.00001	0.99983	0.00004	0.00001	0.00017	0.00004	0.00001	0.00070	0.00047	0.00053
F1	0	1357086	1894	1893	0.13949	44.73745	1.55156	0.00107	0.99980	0.00004	0.00001	0.00027	0.00006	0.00001	0.99973	0.00006	0.00001	0.00033	0.00009	0.00001	0.99967	0.00009	0.00001	0.00034	0.00009	0.00001	0.00031	0.00009	0.00107
F2	0	1357086	1894	397	0.02925	14.91302	0.09406	0.00026	0.99994	0.00002	0.00000	0.00008	0.00003	0.00000	0.99992	0.00003	0.00000	0.00008	0.00003	0.00000	0.99992	0.00003	0.00000	0.00008	0.00003	0.00000	0.00000	0.00002	0.00026
G	0	1357086	1894	1831	0.13492	6.89497	0.14591	0.00033	0.99963	0.00011	0.00001	0.00006	0.00002	0.00000	0.99994	0.00002	0.00000	0.00053	0.00021	0.00001	0.99947	0.00021	0.00001	0.00057	0.00025	0.00001	0.00116	0.00115	0.00033
M	0	1357086	1894	1784	0.13146	9.72675	0.70212	0.00072	0.99941	0.00028	0.00001	0.00004	0.00001	0.00000	0.99996	0.00001	0.00000	0.00062	0.00030	0.00001	0.99938	0.00030	0.00001	0.00065	0.00033	0.00002	0.00117	0.00116	0.00072
