# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
A	0	41.28205	0.79443	0.01015	0.82313	0.01588	0.00143	0.26438	0.02121	0.00166	0.73562	0.02121	0.00166	0.25942	0.01856	0.00155	0.74058	0.01856	0.00155	0.26260	0.01902	0.00157	-0.00743	0.02013	0.01015
B	0	41.04368	1.18827	0.01241	0.82567	0.01612	0.00145	0.26334	0.02245	0.00171	0.73666	0.02245	0.00171	0.25564	0.01902	0.00157	0.74436	0.01902	0.00157	0.25879	0.01949	0.00159	-0.01442	0.01929	0.01241
C	0	35.86818	1.82589	0.01538	0.83054	0.01610	0.00144	0.25523	0.02255	0.00171	0.74477	0.02255	0.00171	0.24929	0.01948	0.00159	0.75071	0.01948	0.00159	0.25283	0.02004	0.00161	-0.00891	0.02258	0.01538
D	0	40.28944	0.77064	0.00999	0.82382	0.01582	0.00143	0.26468	0.02151	0.00167	0.73532	0.02151	0.00167	0.25865	0.01848	0.00155	0.74135	0.01848	0.00155	0.26190	0.01895	0.00157	-0.00897	0.02033	0.00999
E	0	39.00169	1.23632	0.01266	0.82863	0.01615	0.00145	0.25574	0.02187	0.00168	0.74426	0.02187	0.00168	0.25171	0.01935	0.00158	0.74829	0.01935	0.00158	0.25499	0.01987	0.00160	-0.00368	0.02108	0.01266
F1	0	44.67375	2.36684	0.01752	0.83687	0.01603	0.00144	0.23948	0.02015	0.00162	0.76052	0.02015	0.00162	0.24098	0.01955	0.00159	0.75902	0.01955	0.00159	0.24371	0.01999	0.00161	0.01002	0.02009	0.01752
F2	0	14.79067	0.22413	0.00539	0.82575	0.01780	0.00152	0.26211	0.02914	0.00194	0.73789	0.02914	0.00194	0.25217	0.02215	0.00169	0.74783	0.02215	0.00169	0.26101	0.02373	0.00175	-0.00422	0.04262	0.00539
G	0	6.92884	0.06610	0.00293	0.85941	0.01824	0.00154	0.18722	0.02724	0.00188	0.81278	0.02724	0.00188	0.20516	0.02685	0.00187	0.79484	0.02685	0.00187	0.22114	0.03119	0.00201	0.07574	0.07687	0.00293
M	0	9.86299	0.15247	0.00445	0.90322	0.01469	0.00138	0.11345	0.01708	0.00149	0.88655	0.01708	0.00149	0.14545	0.02572	0.00183	0.85455	0.02572	0.00183	0.15326	0.02857	0.00192	0.09515	0.07448	0.00445
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
A	0	5519764	7715	7710	0.13968	41.83030	0.19030	0.00019	0.99975	0.00007	0.00000	0.00037	0.00013	0.00000	0.99963	0.00013	0.00000	0.00036	0.00012	0.00000	0.99964	0.00012	0.00000	0.00037	0.00012	0.00000	-0.00001	0.00003	0.00019
B	0	5519764	7715	7704	0.13957	41.91094	0.11262	0.00014	0.99976	0.00006	0.00000	0.00037	0.00013	0.00000	0.99963	0.00013	0.00000	0.00036	0.00012	0.00000	0.99964	0.00012	0.00000	0.00036	0.00012	0.00000	-0.00002	0.00003	0.00014
C	0	5519764	7715	7694	0.13939	36.70453	0.67899	0.00035	0.99976	0.00006	0.00000	0.00036	0.00012	0.00000	0.99964	0.00012	0.00000	0.00035	0.00011	0.00000	0.99965	0.00011	0.00000	0.00035	0.00012	0.00000	-0.00001	0.00003	0.00035
D	0	5519764	7715	7711	0.13970	40.81090	0.20472	0.00019	0.99975	0.00007	0.00000	0.00037	0.00013	0.00000	0.99963	0.00013	0.00000	0.00036	0.00012	0.00000	0.99964	0.00012	0.00000	0.00037	0.00012	0.00000	-0.00001	0.00003	0.00019
E	0	5519764	7715	7703	0.13955	39.86415	0.18377	0.00018	0.99976	0.00006	0.00000	0.00036	0.00012	0.00000	0.99964	0.00012	0.00000	0.00035	0.00012	0.00000	0.99965	0.00012	0.00000	0.00036	0.00012	0.00000	-0.00001	0.00003	0.00018
F1	0	5519764	7715	7702	0.13953	45.61597	0.51304	0.00030	0.99977	0.00006	0.00000	0.00033	0.00011	0.00000	0.99967	0.00011	0.00000	0.00034	0.00011	0.00000	0.99966	0.00011	0.00000	0.00034	0.00011	0.00000	0.00001	0.00003	0.00030
F2	0	5519764	7715	7362	0.13338	14.98213	0.01867	0.00006	0.99976	0.00007	0.00000	0.00037	0.00014	0.00000	0.99963	0.00014	0.00000	0.00035	0.00012	0.00000	0.99965	0.00012	0.00000	0.00036	0.00013	0.00000	-0.00001	0.00006	0.00006
G	0	5519764	7715	5751	0.10419	6.98239	0.01730	0.00006	0.99980	0.00005	0.00000	0.00026	0.00009	0.00000	0.99974	0.00009	0.00000	0.00029	0.00010	0.00000	0.99971	0.00010	0.00000	0.00031	0.00011	0.00000	0.00011	0.00012	0.00006
M	0	5519764	7715	4373	0.07922	9.95614	0.05127	0.00010	0.99986	0.00003	0.00000	0.00016	0.00004	0.00000	0.99984	0.00004	0.00000	0.00020	0.00007	0.00000	0.99980	0.00007	0.00000	0.00021	0.00007	0.00000	0.00013	0.00012	0.00010
