# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
A	0	41.64247	0.42030	0.00204	0.97644	0.00561	0.00024	0.03512	0.01057	0.00032	0.96488	0.01057	0.00032	0.03480	0.01009	0.00032	0.96520	0.01009	0.00032	0.03522	0.01034	0.00032	0.00046	0.00322	0.00204
B	0	41.32296	0.82638	0.00286	0.95813	0.00485	0.00022	0.07161	0.00866	0.00029	0.92839	0.00866	0.00029	0.07054	0.00800	0.00028	0.92946	0.00800	0.00028	0.07140	0.00820	0.00028	-0.00233	0.00787	0.00286
C	0	35.91574	1.69095	0.00409	0.93634	0.00407	0.00020	0.11350	0.00663	0.00026	0.88650	0.00663	0.00026	0.11107	0.00611	0.00025	0.88893	0.00611	0.00025	0.11264	0.00629	0.00025	-0.01194	0.01240	0.00409
D	0	40.40725	0.58633	0.00241	0.96375	0.00509	0.00022	0.05968	0.00917	0.00030	0.94032	0.00917	0.00030	0.05969	0.00872	0.00029	0.94031	0.00872	0.00029	0.06044	0.00894	0.00030	0.01003	0.01359	0.00241
E	0	39.19297	0.87978	0.00295	0.94482	0.00432	0.00021	0.05612	0.00886	0.00030	0.94388	0.00886	0.00030	0.09562	0.00673	0.00026	0.90438	0.00673	0.00026	0.09686	0.00691	0.00026	0.55338	0.09439	0.00295
F1	0	43.90418	4.04522	0.00632	0.87231	0.00284	0.00017	0.16122	0.00505	0.00022	0.83878	0.00505	0.00022	0.21709	0.00356	0.00019	0.78291	0.00356	0.00019	0.21959	0.00364	0.00019	0.27935	0.02399	0.00632
F2	0	14.86501	0.14386	0.00119	0.97617	0.00576	0.00024	0.03598	0.01153	0.00034	0.96402	0.01153	0.00034	0.03500	0.01022	0.00032	0.96500	0.01022	0.00032	0.03623	0.01095	0.00033	0.00073	0.00630	0.00119
G	0	6.94121	0.05533	0.00074	0.73180	0.00493	0.00022	0.02662	0.00777	0.00028	0.97338	0.00777	0.00028	0.38267	0.00773	0.00028	0.61733	0.00773	0.00028	0.41238	0.00896	0.00030	0.88316	0.09880	0.00074
M	0	9.79686	0.20595	0.00143	0.55950	0.01756	0.00042	0.01978	0.00405	0.00020	0.98022	0.00405	0.00020	0.45779	0.01518	0.00039	0.54221	0.01518	0.00039	0.48248	0.01685	0.00041	0.88496	0.09111	0.00143
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
A	0	16283824	101146	14890	0.09144	41.79788	0.23736	0.00012	0.99985	0.00004	0.00000	0.00022	0.00007	0.00000	0.99978	0.00007	0.00000	0.00022	0.00007	0.00000	0.99978	0.00007	0.00000	0.00022	0.00007	0.00000	0.00000	0.00002	0.00012
B	0	16283824	101146	98655	0.60585	41.88526	0.15528	0.00010	0.99974	0.00004	0.00000	0.00044	0.00009	0.00000	0.99956	0.00009	0.00000	0.00044	0.00008	0.00000	0.99956	0.00008	0.00000	0.00044	0.00008	0.00000	-0.00001	0.00005	0.00010
C	0	16283824	101146	100937	0.61986	36.60067	0.97043	0.00024	0.99960	0.00005	0.00000	0.00070	0.00012	0.00000	0.99930	0.00012	0.00000	0.00069	0.00011	0.00000	0.99931	0.00011	0.00000	0.00070	0.00012	0.00000	-0.00007	0.00008	0.00024
D	0	16283824	101146	92331	0.56701	40.76766	0.25645	0.00013	0.99977	0.00004	0.00000	0.00037	0.00008	0.00000	0.99963	0.00008	0.00000	0.00037	0.00008	0.00000	0.99963	0.00008	0.00000	0.00038	0.00008	0.00000	0.00006	0.00009	0.00013
E	0	16283824	101146	100185	0.61524	39.81901	0.25291	0.00012	0.99966	0.00005	0.00000	0.00035	0.00007	0.00000	0.99965	0.00007	0.00000	0.00059	0.00010	0.00000	0.99941	0.00010	0.00000	0.00060	0.00010	0.00000	0.00344	0.00248	0.00012
F1	0	16283824	101146	101127	0.62103	45.57766	0.63633	0.00020	0.99921	0.00012	0.00000	0.00100	0.00019	0.00000	0.99900	0.00019	0.00000	0.00135	0.00031	0.00000	0.99865	0.00031	0.00000	0.00136	0.00032	0.00000	0.00174	0.00063	0.00020
F2	0	16283824	101146	15038	0.09235	14.97346	0.02985	0.00004	0.99985	0.00004	0.00000	0.00022	0.00008	0.00000	0.99978	0.00008	0.00000	0.00022	0.00007	0.00000	0.99978	0.00007	0.00000	0.00023	0.00008	0.00000	0.00000	0.00004	0.00004
G	0	16283824	101146	98225	0.60321	6.98397	0.01577	0.00003	0.99833	0.00047	0.00001	0.00017	0.00005	0.00000	0.99983	0.00005	0.00000	0.00238	0.00095	0.00001	0.99762	0.00095	0.00001	0.00256	0.00111	0.00001	0.00549	0.00543	0.00003
M	0	16283824	101146	96340	0.59163	9.95744	0.04911	0.00005	0.99726	0.00131	0.00001	0.00012	0.00003	0.00000	0.99988	0.00003	0.00000	0.00284	0.00139	0.00001	0.99716	0.00139	0.00001	0.00300	0.00154	0.00001	0.00550	0.00540	0.00005
