# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
A	0	41.67339	0.40156	0.00420	0.96575	0.00838	0.00061	0.04976	0.01508	0.00081	0.95024	0.01508	0.00081	0.04940	0.01442	0.00080	0.95060	0.01442	0.00080	0.05000	0.01477	0.00081	0.00111	0.00454	0.00420
B	0	41.49613	0.65697	0.00537	0.94845	0.00735	0.00057	0.08440	0.01255	0.00074	0.91560	0.01255	0.00074	0.08309	0.01161	0.00071	0.91691	0.01161	0.00071	0.08410	0.01190	0.00072	-0.00337	0.00801	0.00537
C	0	36.00681	1.79800	0.00889	0.92714	0.00615	0.00052	0.12560	0.00927	0.00064	0.87440	0.00927	0.00064	0.12280	0.00881	0.00062	0.87720	0.00881	0.00062	0.12453	0.00906	0.00063	-0.01587	0.01092	0.00889
D	0	40.47026	0.55040	0.00492	0.95334	0.00767	0.00058	0.07371	0.01303	0.00076	0.92629	0.01303	0.00076	0.07363	0.01253	0.00074	0.92637	0.01253	0.00074	0.07455	0.01284	0.00075	0.00747	0.01238	0.00492
E	0	39.27227	0.84569	0.00610	0.93458	0.00646	0.00053	0.07100	0.01246	0.00074	0.92900	0.01246	0.00074	0.10936	0.00948	0.00065	0.89064	0.00948	0.00065	0.11077	0.00973	0.00065	0.52131	0.09239	0.00610
F1	0	44.64396	2.65304	0.01080	0.86181	0.00402	0.00042	0.18029	0.00613	0.00052	0.81971	0.00613	0.00052	0.23014	0.00457	0.00045	0.76986	0.00457	0.00045	0.23274	0.00467	0.00045	0.23740	0.02143	0.01080
F2	0	14.89554	0.11745	0.00227	0.96577	0.00851	0.00061	0.05021	0.01615	0.00084	0.94979	0.01615	0.00084	0.04910	0.01447	0.00080	0.95090	0.01447	0.00080	0.05082	0.01550	0.00083	0.00152	0.00863	0.00227
G	0	6.95620	0.04188	0.00136	0.73460	0.00598	0.00051	0.03711	0.01106	0.00070	0.96289	0.01106	0.00070	0.37798	0.00927	0.00064	0.62202	0.00927	0.00064	0.40725	0.01074	0.00069	0.84495	0.12700	0.00136
M	0	9.87102	0.14266	0.00250	0.57060	0.02246	0.00099	0.02395	0.00523	0.00048	0.97605	0.00523	0.00048	0.44511	0.01940	0.00092	0.55489	0.01940	0.00092	0.46890	0.02152	0.00097	0.85164	0.11666	0.00250
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
A	0	16283824	22764	4343	0.02667	41.79882	0.23611	0.00012	0.99995	0.00001	0.00000	0.00007	0.00002	0.00000	0.99993	0.00002	0.00000	0.00007	0.00002	0.00000	0.99993	0.00002	0.00000	0.00007	0.00002	0.00000	0.00000	0.00001	0.00012
B	0	16283824	22764	22064	0.13550	41.88833	0.14984	0.00010	0.99993	0.00001	0.00000	0.00012	0.00003	0.00000	0.99988	0.00003	0.00000	0.00012	0.00003	0.00000	0.99988	0.00003	0.00000	0.00012	0.00003	0.00000	-0.00000	0.00001	0.00010
C	0	16283824	22764	22711	0.13947	36.60470	0.96293	0.00024	0.99990	0.00002	0.00000	0.00018	0.00003	0.00000	0.99982	0.00003	0.00000	0.00017	0.00003	0.00000	0.99983	0.00003	0.00000	0.00017	0.00003	0.00000	-0.00002	0.00002	0.00024
D	0	16283824	22764	20598	0.12649	40.76968	0.25388	0.00012	0.99993	0.00001	0.00000	0.00010	0.00003	0.00000	0.99990	0.00003	0.00000	0.00010	0.00003	0.00000	0.99990	0.00003	0.00000	0.00010	0.00003	0.00000	0.00001	0.00002	0.00012
E	0	16283824	22764	22627	0.13895	39.82240	0.24740	0.00012	0.99991	0.00002	0.00000	0.00010	0.00002	0.00000	0.99990	0.00002	0.00000	0.00015	0.00003	0.00000	0.99985	0.00003	0.00000	0.00015	0.00003	0.00000	0.00073	0.00051	0.00012
F1	0	16283824	22764	22759	0.13976	45.58705	0.60101	0.00019	0.99981	0.00003	0.00000	0.00025	0.00005	0.00000	0.99975	0.00005	0.00000	0.00032	0.00008	0.00000	0.99968	0.00008	0.00000	0.00033	0.00008	0.00000	0.00033	0.00011	0.00019
F2	0	16283824	22764	4357	0.02676	14.97405	0.02916	0.00004	0.99995	0.00001	0.00000	0.00007	0.00003	0.00000	0.99993	0.00003	0.00000	0.00007	0.00002	0.00000	0.99993	0.00002	0.00000	0.00007	0.00003	0.00000	0.00000	0.00001	0.00004
G	0	16283824	22764	21975	0.13495	6.98422	0.01553	0.00003	0.99963	0.00011	0.00000	0.00005	0.00002	0.00000	0.99995	0.00002	0.00000	0.00053	0.00021	0.00000	0.99947	0.00021	0.00000	0.00057	0.00025	0.00000	0.00118	0.00117	0.00003
M	0	16283824	22764	21336	0.13103	9.95838	0.04804	0.00005	0.99940	0.00029	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00062	0.00030	0.00000	0.99938	0.00030	0.00000	0.00066	0.00034	0.00000	0.00119	0.00118	0.00005
